customer_id,event_month,event_seq,Monthly_GB_Download,Monthly_Long_Distance_Charges,Revenue,Extra_Data_Charges,Refunds
C00001,2025-12-06,36,16.5104,25.1278,70.6403,0.4945,0.0835
C00001,2025-12-07,37,17.1551,26.6969,72.359,0.4199,0.0609
C00001,2025-12-08,38,15.7855,25.7204,69.0696,0.3339,0.077
C00001,2025-12-09,39,14.3224,22.2986,67.2272,0.4069,0.0751
C00001,2025-12-10,40,13.7153,21.5184,65.4593,0.3153,0.2126
C00001,2025-12-11,41,33.5039,22.6714,77.9028,0.0579,0.09
C00001,2025-12-12,42,35.4843,23.216,77.0503,0.3064,0.2649
C00001,2025-12-13,43,38.2224,25.7837,79.5586,0.4943,0.2551
C00001,2025-12-14,44,40.6654,25.6803,80.6199,0.4402,0.0238
C00001,2025-12-15,45,41.2911,24.4721,79.1025,0.5347,0.0
C00002,2025-11-01,1,18.342,29.8892,73.3771,0.6787,0.3063
C00002,2025-11-02,2,18.1742,29.5906,72.9794,0.9076,0.0523
C00002,2025-11-03,3,17.2852,29.8229,70.8877,0.7595,0.1868
C00002,2025-11-04,4,16.0753,27.0545,69.8875,0.691,0.0415
C00002,2025-11-05,5,15.3597,24.9328,68.3458,0.4773,0.075
C00002,2025-11-06,6,15.1717,26.3722,67.6256,0.443,0.3195
C00002,2025-11-07,7,16.8856,26.5343,69.3078,0.5455,0.2966
C00002,2025-11-08,8,17.8796,29.9594,71.0292,0.6788,0.2618
C00002,2025-11-09,9,17.88,29.6717,72.9287,0.8999,0.0
C00002,2025-11-10,10,16.9796,27.6066,70.8119,0.8835,0.017
C00002,2025-11-11,11,14.8425,25.0692,68.6966,0.4526,0.1817
C00002,2025-11-12,12,14.4279,23.9393,67.7696,0.3306,0.141
C00002,2025-11-13,13,14.8467,25.7237,66.5321,0.4305,0.0668
C00002,2025-11-14,14,15.2629,27.3118,69.5,0.5443,0.2294
C00002,2025-11-15,15,17.0224,28.3391,69.2326,0.6491,0.2791
C00002,2025-11-16,16,17.7031,29.0579,71.9613,0.8742,0.0218
C00002,2025-11-17,17,16.2317,27.3366,71.2126,0.8321,0.2712
C00002,2025-11-18,18,15.6667,25.1979,67.8884,0.3916,0.243
C00002,2025-11-19,19,14.9486,24.4833,68.0814,0.2912,0.2955
C00002,2025-11-20,20,15.4272,26.2994,69.1947,0.5953,0.0
C00002,2025-11-21,21,16.7698,26.8145,71.2544,0.7388,0.2724
C00002,2025-11-22,22,18.3065,28.612,72.5911,0.6609,0.2753
C00002,2025-11-23,23,18.8817,29.1049,73.2978,0.8302,0.0768
C00002,2025-11-24,24,18.1781,28.015,70.3026,0.615,0.0849
C00002,2025-11-25,25,17.0587,27.7792,69.6072,0.5855,0.1099
C00002,2025-11-26,26,16.4854,25.7057,70.6415,0.277,0.3096
C00002,2025-11-27,27,16.2329,27.1857,69.3037,0.317,0.1221
C00002,2025-11-28,28,18.1079,27.6296,71.8863,0.6341,0.1048
C00002,2025-11-29,29,19.3152,29.3433,73.758,0.6226,0.294
C00002,2025-11-30,30,19.6445,30.8251,74.2698,0.9059,0.0975
C00002,2025-12-01,31,18.3725,29.444,72.0929,0.6585,0.2668
C00002,2025-12-02,32,17.5458,26.6023,70.3425,0.5016,0.1108
C00002,2025-12-03,33,16.2393,24.904,69.5388,0.574,0.2071
C00002,2025-12-04,34,17.0038,26.3243,69.4452,0.4753,0.0
C00002,2025-12-05,35,17.5832,27.5958,71.554,0.6857,0.1327
C00002,2025-12-06,36,18.837,28.7847,72.5583,0.9464,0.2486
C00002,2025-12-07,37,18.7517,28.8021,72.8466,0.8923,0.0873
C00002,2025-12-08,38,18.3167,28.8773,72.0572,0.6263,0.0397
C00002,2025-12-09,39,16.0647,25.6244,69.6581,0.6605,0.0
C00002,2025-12-10,40,15.4131,25.0931,67.6621,0.4862,0.143
C00002,2025-12-11,41,34.9514,25.4767,77.342,0.5483,0.2395
C00002,2025-12-12,42,37.4878,26.669,79.1786,0.7949,0.1513
C00002,2025-12-13,43,40.1289,28.007,82.4599,0.7863,0.2505
C00002,2025-12-14,44,42.4704,30.031,82.0757,1.0065,0.282
C00002,2025-12-15,45,43.0706,28.1803,80.7978,0.8445,0.1618
C00003,2025-11-01,1,20.7238,33.819,74.1185,0.9953,0.1065
C00003,2025-11-02,2,20.776,34.2666,74.5729,1.1701,0.1161
C00003,2025-11-03,3,19.3471,31.8928,72.7591,0.9405,0.2091
C00003,2025-11-04,4,17.9225,29.6792,72.1667,0.8889,0.0425
C00003,2025-11-05,5,17.182,29.0014,70.2018,0.59,0.1671
C00003,2025-11-06,6,17.8015,29.4031,71.1699,0.8664,0.288
C00003,2025-11-07,7,18.4314,29.7861,71.4959,1.0013,0.3187
C00003,2025-11-08,8,20.0449,32.3469,73.8875,1.0986,0.2311
C00003,2025-11-09,9,19.5453,32.2087,73.1848,0.9549,0.1376
C00003,2025-11-10,10,18.9554,31.2374,71.2165,0.9937,0.0647
C00003,2025-11-11,11,17.3986,28.293,70.0508,0.8377,0.0295
C00003,2025-11-12,12,16.4605,27.1899,69.0865,0.5336,0.1527
C00003,2025-11-13,13,16.3224,27.9814,70.2051,0.6945,0.2832
C00003,2025-11-14,14,18.1084,29.5703,69.7454,0.737,0.2088
C00003,2025-11-15,15,19.5258,31.5681,72.8259,1.1832,0.2481
C00003,2025-11-16,16,19.6684,33.3468,71.9826,0.9518,0.0733
C00003,2025-11-17,17,18.3306,31.5313,72.0746,0.9039,0.2648
C00003,2025-11-18,18,17.6479,28.5049,70.69,0.9038,0.0601
C00003,2025-11-19,19,16.9903,29.1117,68.4463,0.5248,0.1292
C00003,2025-11-20,20,17.3587,29.6598,69.8352,0.8154,0.0466
C00003,2025-11-21,21,18.8284,30.8636,70.7334,1.0081,0.3176
C00003,2025-11-22,22,20.2172,31.6914,74.9413,1.1838,0.1415
C00003,2025-11-23,23,20.5945,32.8308,74.228,1.0673,0.3174
C00003,2025-11-24,24,20.3024,31.1464,74.7265,1.0543,0.31
C00003,2025-11-25,25,19.0174,30.0101,72.6802,0.9821,0.1145
C00003,2025-11-26,26,18.4297,29.11,71.1655,0.6723,0.2759
C00003,2025-11-27,27,18.4137,30.3419,72.6865,0.5892,0.3286
C00003,2025-11-28,28,19.7717,31.3618,73.6978,0.8664,0.03
C00003,2025-11-29,29,21.6621,32.583,74.1674,1.1892,0.1391
C00003,2025-11-30,30,22.0522,34.1849,74.7659,0.9481,0.3518
C00003,2025-12-01,31,20.4866,32.9668,74.3364,1.0984,0.2617
C00003,2025-12-02,32,19.5793,30.4214,73.4967,0.668,0.0976
C00003,2025-12-03,33,18.6958,28.6976,71.7899,0.6859,0.2058
C00003,2025-12-04,34,18.6742,30.0112,71.3288,0.811,0.1148
C00003,2025-12-05,35,19.6513,30.3154,72.2692,0.773,0.2076
C00003,2025-12-06,36,21.225,32.1219,73.6393,1.0763,0.2736
C00003,2025-12-07,37,21.5779,33.1697,73.9957,0.9807,0.0879
C00003,2025-12-08,38,19.8849,31.0195,72.013,1.0177,0.116
C00003,2025-12-09,39,19.0195,29.7031,72.0805,0.68,0.324
C00003,2025-12-10,40,17.5819,29.0276,70.525,0.6845,0.1742
C00003,2025-12-11,41,36.9978,27.5464,81.7615,0.73,0.3077
C00003,2025-12-12,42,39.8525,29.2967,82.2485,0.7493,0.0722
C00003,2025-12-13,43,42.6903,31.5272,84.6676,0.9446,0.2876
C00003,2025-12-14,44,44.5152,32.9973,82.8403,1.1326,0.1777
C00003,2025-12-15,45,45.0177,31.8903,83.9565,0.9354,0.2374
C00004,2025-11-01,1,22.5649,37.2111,77.2427,1.2568,0.1439
C00004,2025-11-02,2,22.8965,36.3273,75.3999,1.2515,0.0709
C00004,2025-11-03,3,21.7828,35.9706,74.6138,1.1888,0.3174
C00004,2025-11-04,4,20.5307,33.5693,73.9483,1.2472,0.3457
C00004,2025-11-05,5,19.4777,32.6623,73.4519,0.9486,0.2606
C00004,2025-11-06,6,19.6701,33.5166,73.337,0.8637,0.1281
C00004,2025-11-07,7,20.4659,34.8209,73.9048,1.1139,0.1135
C00004,2025-11-08,8,21.9067,36.3645,76.234,1.3622,0.2428
C00004,2025-11-09,9,21.5192,35.2137,74.9741,1.3405,0.1576
C00004,2025-11-10,10,20.5264,35.8641,74.8951,1.3125,0.4028
C00004,2025-11-11,11,19.8382,33.1127,71.5022,0.929,0.3347
C00004,2025-11-12,12,18.4055,31.7247,72.1587,0.8609,0.2749
C00004,2025-11-13,13,18.8032,31.7441,70.1291,0.9633,0.1867
C00004,2025-11-14,14,20.0628,34.3023,72.2395,1.2597,0.1709
C00004,2025-11-15,15,21.5766,35.9881,74.3458,1.3457,0.1801
C00004,2025-11-16,16,21.3805,36.792,74.3561,1.4097,0.4158
C00004,2025-11-17,17,20.9089,34.6522,73.4526,1.173,0.1966
C00004,2025-11-18,18,19.7385,32.9117,72.9177,0.9878,0.2622
C00004,2025-11-19,19,19.1878,31.3531,71.8987,0.8392,0.4106
C00004,2025-11-20,20,19.3971,31.4782,70.968,1.0363,0.2633
C00004,2025-11-21,21,20.3908,35.0667,74.8043,1.1761,0.1111
C00004,2025-11-22,22,22.5258,35.9215,75.993,1.3652,0.1657
C00004,2025-11-23,23,23.0602,37.572,75.2938,1.4229,0.2043
C00004,2025-11-24,24,22.492,35.4324,76.2984,1.4165,0.1667
C00004,2025-11-25,25,21.1918,33.3649,75.0415,1.0973,0.3572
C00004,2025-11-26,26,20.0569,31.9829,73.2551,1.1551,0.2414
C00004,2025-11-27,27,20.4059,33.053,73.1268,1.0367,0.2602
C00004,2025-11-28,28,22.062,34.4474,74.3171,1.2611,0.2701
C00004,2025-11-29,29,23.2065,37.2891,75.4957,1.4501,0.3168
C00004,2025-11-30,30,24.0902,36.8917,77.6507,1.52,0.4133
C00004,2025-12-01,31,22.9553,34.8641,76.1748,1.3179,0.3744
C00004,2025-12-02,32,21.8847,33.7102,74.5492,1.079,0.3229
C00004,2025-12-03,33,20.5422,32.8645,72.3938,0.9645,0.4092
C00004,2025-12-04,34,20.696,33.2941,74.0221,1.1446,0.3683
C00004,2025-12-05,35,22.2984,34.286,74.4167,1.2687,0.3358
C00004,2025-12-06,36,23.4242,35.1935,75.025,1.4092,0.3923
C00004,2025-12-07,37,23.6966,37.0584,76.2185,1.2599,0.2918
C00004,2025-12-08,38,22.5655,35.0009,75.7166,1.4307,0.0861
C00004,2025-12-09,39,20.9592,32.5312,72.9773,0.967,0.2559
C00004,2025-12-10,40,19.7495,32.2512,71.1936,0.8239,0.3748
C00004,2025-12-11,41,39.4896,31.3632,83.4824,0.8895,0.2314
C00004,2025-12-12,42,41.8205,33.0954,82.3124,1.2997,0.3854
C00004,2025-12-13,43,44.8936,34.6063,84.9214,1.3064,0.2757
C00004,2025-12-14,44,46.6446,35.5911,84.7087,1.5288,0.1397
C00004,2025-12-15,45,47.0654,34.461,83.6486,1.3113,0.2712
C00005,2025-11-01,1,25.0097,39.6324,79.1277,1.699,0.0161
C00005,2025-11-02,2,24.9114,40.8906,78.7983,1.5221,0.1322
C00005,2025-11-03,3,23.9244,40.0534,76.3996,1.673,0.1325
C00005,2025-11-04,4,22.3151,37.371,75.5622,1.4385,0.1723
C00005,2025-11-05,5,21.6084,36.452,74.3967,1.4007,0.1462
C00005,2025-11-06,6,21.4652,35.8879,74.4452,1.3816,0.0
C00005,2025-11-07,7,22.5547,38.2176,74.6028,1.3376,0.1088
C00005,2025-11-08,8,24.2612,39.3929,77.9523,1.761,0.0099
C00005,2025-11-09,9,24.289,39.5861,77.8226,1.7732,0.0386
C00005,2025-11-10,10,22.6479,39.2663,74.7485,1.7334,0.221
C00005,2025-11-11,11,21.6904,37.1895,75.2559,1.4842,0.048
C00005,2025-11-12,12,20.7936,33.722,72.8961,1.2392,0.1555
C00005,2025-11-13,13,20.937,35.3483,73.9764,1.4565,0.0
C00005,2025-11-14,14,21.7701,35.8704,75.5919,1.4921,0.2403
C00005,2025-11-15,15,23.0252,37.7373,76.9123,1.7894,0.0258
C00005,2025-11-16,16,23.557,38.3651,77.6739,1.6141,0.0924
C00005,2025-11-17,17,22.5045,38.8104,74.4753,1.5488,0.1547
C00005,2025-11-18,18,21.8265,37.0169,73.7633,1.4618,0.0
C00005,2025-11-19,19,20.8263,34.0071,73.1138,1.2224,0.253
C00005,2025-11-20,20,20.9785,35.167,73.566,1.4602,0.2194
C00005,2025-11-21,21,22.4963,37.7922,75.5726,1.642,0.0455
C00005,2025-11-22,22,24.2352,38.6426,76.1285,1.7673,0.0792
C00005,2025-11-23,23,25.0055,40.2273,78.0834,1.5122,0.1954
C00005,2025-11-24,24,23.9815,37.9913,77.2171,1.4102,0.1878
C00005,2025-11-25,25,22.7672,36.3272,76.6608,1.3128,0.0
C00005,2025-11-26,26,22.7128,34.7323,75.8152,1.1276,0.0
C00005,2025-11-27,27,22.5978,35.652,75.8114,1.1273,0.0
C00005,2025-11-28,28,24.4632,37.6629,76.4955,1.3527,0.0
C00005,2025-11-29,29,25.7638,40.1403,79.2613,1.6335,0.1923
C00005,2025-11-30,30,25.9218,39.6823,79.0031,1.8448,0.0
C00005,2025-12-01,31,25.3145,40.09,78.0284,1.5503,0.2574
C00005,2025-12-02,32,23.2527,37.1953,76.001,1.4415,0.0916
C00005,2025-12-03,33,23.092,34.9857,73.9878,1.2945,0.0
C00005,2025-12-04,34,22.7388,36.5629,75.538,1.2351,0.2681
C00005,2025-12-05,35,24.1025,37.8482,77.0252,1.3257,0.1656
C00005,2025-12-06,36,25.5066,39.9465,78.7865,1.7215,0.0
C00005,2025-12-07,37,25.3054,39.3182,77.7524,1.6677,0.0656
C00005,2025-12-08,38,23.9657,38.3636,77.4357,1.5202,0.0
C00005,2025-12-09,39,23.1734,35.4334,76.0567,1.2281,0.0
C00005,2025-12-10,40,22.005,35.6936,74.0755,1.2866,0.1166
C00005,2025-12-11,41,41.3285,34.5023,83.7166,1.3575,0.1826
C00005,2025-12-12,42,44.4732,37.52,86.7976,1.5061,0.0431
C00005,2025-12-13,43,46.9039,38.1268,87.3234,1.5427,0.0
C00005,2025-12-14,44,48.9304,38.8663,87.9437,1.7112,0.2025
C00005,2025-12-15,45,49.5799,38.9419,87.076,1.6063,0.1449
C00006,2025-11-01,1,26.2399,44.4269,80.5119,0.4383,0.0331
C00006,2025-11-02,2,27.1345,43.4616,79.4648,0.3867,0.2745
C00006,2025-11-03,3,26.087,42.346,77.7955,0.4934,0.0
C00006,2025-11-04,4,24.7695,39.8438,76.7992,0.1973,0.0995
C00006,2025-11-05,5,23.7646,39.7167,76.0269,0.0,0.0
C00006,2025-11-06,6,23.4289,39.6773,76.5096,0.096,0.2017
C00006,2025-11-07,7,24.8262,40.9457,76.6758,0.4418,0.0098
C00006,2025-11-08,8,25.8738,42.2482,79.0943,0.5172,0.2035
C00006,2025-11-09,9,25.6876,42.7956,79.0426,0.3873,0.0755
C00006,2025-11-10,10,24.8343,40.8498,76.8698,0.3836,0.0
C00006,2025-11-11,11,23.8109,38.8202,75.4122,0.3279,0.1451
C00006,2025-11-12,12,22.932,38.865,73.3955,0.2658,0.0
C00006,2025-11-13,13,22.4487,39.4889,75.8875,0.2053,0.1707
C00006,2025-11-14,14,24.2982,40.1342,75.2385,0.1775,0.0837
C00006,2025-11-15,15,25.6471,42.3581,78.7352,0.6731,0.0008
C00006,2025-11-16,16,26.0496,41.9929,78.4732,0.5731,0.1085
C00006,2025-11-17,17,24.7963,41.0054,76.8281,0.326,0.1487
C00006,2025-11-18,18,23.3603,39.4577,76.9263,0.2003,0.2246
C00006,2025-11-19,19,23.29,38.9824,74.2051,0.0082,0.039
C00006,2025-11-20,20,23.5912,39.4243,75.9599,0.0618,0.2405
C00006,2025-11-21,21,24.9516,41.3435,77.9757,0.3316,0.2935
C00006,2025-11-22,22,26.4849,43.0227,79.3352,0.6531,0.1895
C00006,2025-11-23,23,26.6448,42.3657,79.4495,0.4935,0.0661
C00006,2025-11-24,24,25.9129,42.2304,78.3054,0.4281,0.0
C00006,2025-11-25,25,25.4293,39.4209,78.4455,0.3825,0.1853
C00006,2025-11-26,26,24.4587,39.144,76.7638,0.2406,0.2836
C00006,2025-11-27,27,24.8769,40.4497,77.5856,0.1137,0.1365
C00006,2025-11-28,28,25.988,40.6756,77.6787,0.4937,0.0902
C00006,2025-11-29,29,27.8391,43.4929,79.4566,0.4312,0.1232
C00006,2025-11-30,30,27.9554,43.9924,79.8369,0.5187,0.069
C00006,2025-12-01,31,27.0774,42.327,80.0424,0.5496,0.1966
C00006,2025-12-02,32,25.3573,39.7495,78.576,0.1768,0.2233
C00006,2025-12-03,33,24.9641,40.2179,78.0067,0.0755,0.174
C00006,2025-12-04,34,24.7186,39.3398,78.5121,0.2494,0.1072
C00006,2025-12-05,35,26.2605,42.3136,77.9968,0.3056,0.2471
C00006,2025-12-06,36,27.5709,43.3888,80.7545,0.608,0.2099
C00006,2025-12-07,37,27.4727,43.6368,79.7889,0.5147,0.0969
C00006,2025-12-08,38,26.1424,41.296,80.0269,0.4405,0.0493
C00006,2025-12-09,39,24.5665,38.8555,77.8921,0.111,0.2398
C00006,2025-12-10,40,24.1917,39.2518,74.4233,0.0768,0.2382
C00006,2025-12-11,41,43.2498,38.4622,84.9808,0.2973,0.2399
C00006,2025-12-12,42,46.52,39.6979,87.1116,0.3179,0.2067
C00006,2025-12-13,43,48.6975,42.036,88.0824,0.6115,0.1271
C00006,2025-12-14,44,50.7502,42.1385,89.8725,0.5533,0.2623
C00006,2025-12-15,45,51.2503,42.2816,89.3408,0.4317,0.0686
C00007,2025-11-01,1,28.6599,46.9433,82.695,0.9161,0.3004
C00007,2025-11-02,2,28.7266,46.7318,82.1086,0.9792,0.2141
C00007,2025-11-03,3,27.7697,46.7252,81.5816,0.6481,0.2871
C00007,2025-11-04,4,26.4435,44.7621,77.8362,0.512,0.3512
C00007,2025-11-05,5,25.4149,42.4001,77.2165,0.2451,0.0386
C00007,2025-11-06,6,25.839,42.2368,79.2071,0.413,0.0299
C00007,2025-11-07,7,27.3268,45.2194,79.5309,0.7349,0.0682
C00007,2025-11-08,8,27.845,46.8505,80.9435,0.672,0.2669
C00007,2025-11-09,9,28.1505,45.3376,79.3863,0.7566,0.3122
C00007,2025-11-10,10,27.2381,45.5478,79.4321,0.5855,0.1208
C00007,2025-11-11,11,25.5096,41.9387,77.3231,0.6403,0.18
C00007,2025-11-12,12,24.3818,42.4827,76.6646,0.2414,0.2004
C00007,2025-11-13,13,24.7496,41.1782,76.4755,0.4993,0.1042
C00007,2025-11-14,14,26.1346,44.0769,76.9558,0.8009,0.0437
C00007,2025-11-15,15,27.4994,45.5143,80.9728,0.8215,0.1567
C00007,2025-11-16,16,27.8127,46.2561,81.3713,0.7558,0.0257
C00007,2025-11-17,17,27.3267,44.417,79.7477,0.7716,0.29
C00007,2025-11-18,18,26.0193,42.4673,76.3138,0.5511,0.3047
C00007,2025-11-19,19,24.8105,42.3034,76.6445,0.4859,0.2411
C00007,2025-11-20,20,25.8794,41.2906,78.0979,0.4428,0.1227
C00007,2025-11-21,21,26.6463,43.5225,77.7654,0.786,0.2004
C00007,2025-11-22,22,28.9671,46.2197,80.0958,0.8932,0.0869
C00007,2025-11-23,23,28.9302,47.3334,82.4356,0.784,0.0636
C00007,2025-11-24,24,28.2935,46.4711,81.3176,0.8675,0.1553
C00007,2025-11-25,25,27.6571,43.7437,79.2187,0.6873,0.2017
C00007,2025-11-26,26,26.8234,43.1256,77.2327,0.4524,0.3078
C00007,2025-11-27,27,27.0631,42.7748,77.7846,0.5159,0.1273
C00007,2025-11-28,28,28.4946,44.8769,81.1202,0.5766,0.0348
C00007,2025-11-29,29,30.0793,46.5585,83.5683,0.7208,0.363
C00007,2025-11-30,30,30.513,46.4074,82.9774,0.7953,0.3004
C00007,2025-12-01,31,29.421,47.0788,80.5681,0.7642,0.2935
C00007,2025-12-02,32,27.4293,43.0895,80.6564,0.4864,0.154
C00007,2025-12-03,33,26.9838,42.9552,79.2629,0.5771,0.1502
C00007,2025-12-04,34,27.3781,43.2328,79.0851,0.4213,0.2473
C00007,2025-12-05,35,28.0497,43.8996,80.9899,0.6297,0.1554
C00007,2025-12-06,36,29.4446,45.8904,80.9622,0.7827,0.3687
C00007,2025-12-07,37,29.356,47.6318,81.7787,0.7086,0.3185
C00007,2025-12-08,38,28.487,46.2019,80.4197,0.5771,0.2587
C00007,2025-12-09,39,27.3036,42.7888,78.3005,0.3779,0.2098
C00007,2025-12-10,40,26.3423,42.5807,78.1107,0.5694,0.2432
C00007,2025-12-11,41,45.9462,42.1527,86.6663,0.3504,0.0686
C00007,2025-12-12,42,48.6032,42.7915,89.2373,0.5828,0.3013
C00007,2025-12-13,43,51.0802,45.805,89.326,0.7333,0.3699
C00007,2025-12-14,44,53.0165,46.0142,91.5621,0.9609,0.0458
C00007,2025-12-15,45,53.8944,45.0111,89.6443,0.7903,0.1406
C00008,2025-11-01,1,31.2064,27.0995,83.5809,0.9675,0.4082
C00008,2025-11-02,2,31.0914,27.7854,82.2684,0.9892,0.1236
C00008,2025-11-03,3,29.9255,25.1741,82.9844,0.95,0.3993
C00008,2025-11-04,4,29.1034,24.2315,79.9254,0.8632,0.2628
C00008,2025-11-05,5,27.4278,21.6739,79.5314,0.6964,0.129
C00008,2025-11-06,6,28.3346,21.6573,80.0669,0.8174,0.2818
C00008,2025-11-07,7,29.3474,24.2131,81.8216,0.7402,0.0859
C00008,2025-11-08,8,30.2642,25.8939,82.6177,1.1781,0.2158
C00008,2025-11-09,9,30.4219,26.0217,82.7205,1.0488,0.4048
C00008,2025-11-10,10,29.2789,25.3182,81.6724,0.9325,0.0955
C00008,2025-11-11,11,27.3925,22.4008,79.3035,0.708,0.2823
C00008,2025-11-12,12,26.6633,21.6718,78.8495,0.8254,0.4114
C00008,2025-11-13,13,26.7496,21.2775,78.6462,0.6729,0.2333
C00008,2025-11-14,14,28.1004,22.7607,78.7871,0.8345,0.2045
C00008,2025-11-15,15,29.6798,24.5444,82.4283,0.9595,0.1846
C00008,2025-11-16,16,30.0095,25.1456,82.5611,1.1239,0.2502
C00008,2025-11-17,17,29.1659,23.9372,79.5604,1.1657,0.2469
C00008,2025-11-18,18,28.3277,21.8091,78.9778,0.6527,0.2432
C00008,2025-11-19,19,27.547,21.6286,78.4612,0.7087,0.3665
C00008,2025-11-20,20,27.6369,22.6932,79.7615,0.833,0.1981
C00008,2025-11-21,21,29.0674,23.9383,79.9931,0.9292,0.0957
C00008,2025-11-22,22,30.6307,26.3067,81.9697,1.2581,0.3081
C00008,2025-11-23,23,30.8159,27.3607,82.9143,1.2306,0.1887
C00008,2025-11-24,24,30.9074,25.7752,81.5937,1.0087,0.245
C00008,2025-11-25,25,28.9216,22.5535,80.5581,0.8051,0.2299
C00008,2025-11-26,26,28.748,22.2602,79.73,0.7362,0.1269
C00008,2025-11-27,27,29.5637,23.2946,80.1983,0.6791,0.3599
C00008,2025-11-28,28,30.5313,25.0987,81.8283,1.0237,0.1989
C00008,2025-11-29,29,32.0027,27.5387,84.2078,1.1888,0.3239
C00008,2025-11-30,30,32.3791,25.901,84.3212,1.2926,0.344
C00008,2025-12-01,31,31.6081,25.8534,83.9883,1.0355,0.1297
C00008,2025-12-02,32,30.0641,23.905,82.6318,0.6877,0.3083
C00008,2025-12-03,33,28.6016,23.31,79.4693,0.5223,0.1798
C00008,2025-12-04,34,28.9276,23.0893,80.5516,0.837,0.3922
C00008,2025-12-05,35,30.7105,24.8688,80.9044,0.7797,0.1426
C00008,2025-12-06,36,31.3316,26.3714,83.5047,1.015,0.1306
C00008,2025-12-07,37,32.0199,25.9686,83.1953,1.2224,0.3223
C00008,2025-12-08,38,30.7591,25.3501,82.6816,0.8947,0.1563
C00008,2025-12-09,39,29.1449,22.1805,81.8519,0.7417,0.1712
C00008,2025-12-10,40,27.8267,21.8586,78.8054,0.6411,0.3968
C00008,2025-12-11,41,48.0477,21.235,88.4677,0.8016,0.2029
C00008,2025-12-12,42,50.874,24.1341,92.159,1.0197,0.1717
C00008,2025-12-13,43,52.9426,25.6298,91.8544,1.0613,0.1598
C00008,2025-12-14,44,54.9007,24.9022,92.7164,1.2804,0.3137
C00008,2025-12-15,45,55.2428,24.5524,91.8275,0.9127,0.3044
C00009,2025-11-01,1,32.9942,30.1864,83.7364,1.3308,0.1711
C00009,2025-11-02,2,32.8926,30.8775,83.9278,1.4226,0.2452
C00009,2025-11-03,3,32.2435,29.9213,85.2578,1.2773,0.0
C00009,2025-11-04,4,31.2655,26.477,82.8322,1.2414,0.0
C00009,2025-11-05,5,29.9318,25.585,81.8624,1.1327,0.2396
C00009,2025-11-06,6,29.7447,26.659,80.5146,1.1691,0.269
C00009,2025-11-07,7,31.0464,27.463,83.9335,1.3564,0.2441
C00009,2025-11-08,8,32.5759,28.0454,84.1848,1.2206,0.264
C00009,2025-11-09,9,32.2029,30.502,84.2857,1.4023,0.2485
C00009,2025-11-10,10,31.7102,27.9776,82.0943,1.146,0.0
